Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2022-06-14,2,16000,800,2 out of 4,Super Area,"Lakdikapul, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-08,3,35000,1000,3 out of 6,Carpet Area,Nizampet,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,15000,1200,2 out of 3,Super Area,"Manikonda, Outer Ring Road",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-18,1,5500,400,1 out of 2,Super Area,"Ramanthapur, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Builder
2022-06-04,3,35000,1250,4 out of 5,Carpet Area,"Somajiguda, NH 9",Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2022-07-04,1,14000,700,5 out of 5,Carpet Area,"Chanda Naik Nagar, Madhapur",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-06,2,25000,1100,1 out of 5,Super Area,"Alkapur Township, Hyderabad",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-06-06,4,36000,2050,1 out of 3,Super Area,Sainikpuri,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,20000,1428,4 out of 8,Super Area,"Beeramguda, Ramachandra Puram, NH 9",Hyderabad,Semi-Furnished,Family,2,Contact Agent
2022-05-22,3,30000,1700,3 out of 5,Carpet Area,"Ashok Nagar, Himayath Nagar",Hyderabad,Furnished,Family,3,Contact Agent
2022-07-02,2,12000,1140,2 out of 5,Super Area,"Kismatpur, Outer Ring Road",Hyderabad,Semi-Furnished,Family,2,Contact Owner
2022-05-22,2,16000,1000,2 out of 5,Super Area,"Ashok Nagar, Himayath Nagar",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-03,2,13000,1160,3 out of 5,Super Area,"Pragathi Nagar, Kukatpally",Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2022-07-05,3,22000,3000,3 out of 5,Carpet Area,sri sai arcade madinaguda,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,1,15000,450,1 out of 3,Super Area,Madhapur,Hyderabad,Unfurnished,Family,1,Contact Agent
2022-05-06,3,14000,1540,2 out of 5,Super Area,Attapur,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-06,2,8000,1000,2 out of 8,Super Area,"Saroornagar, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,3,57000,1417,7 out of 30,Carpet Area,Nanakaramguda,Hyderabad,Furnished,Bachelors,3,Contact Agent
2022-05-31,3,1200,2100,1 out of 3,Carpet Area,"Uppal, NH 2 2",Hyderabad,Furnished,Bachelors/Family,3,Contact Owner
2022-07-08,2,8000,550,4 out of 4,Carpet Area,Ram nagar,Hyderabad,Unfurnished,Bachelors,1,Contact Owner
2022-05-18,3,15000,1600,1 out of 5,Super Area,"Miyapur, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-07-10,2,17000,1200,4 out of 5,Super Area,"Madinaguda, Hafeezpet, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-06-18,2,12000,500,1 out of 2,Super Area,"Saidabad Colony, Sayeedabad",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-06-17,3,25000,1300,Ground out of 5,Carpet Area,"Manikonda, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-25,2,13000,600,1 out of 3,Super Area,Ramchandrapuram Mandal,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-25,3,35000,1565,1 out of 6,Carpet Area,"KMR Estates, Serilingampally",Hyderabad,Furnished,Bachelors/Family,3,Contact Owner
2022-07-06,1,6500,350,2 out of 4,Super Area,Langar Houz,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-03,2,11000,1100,1 out of 4,Super Area,"Padmanabha Nagar, Mehdipatnam",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,25000,1200,1 out of 6,Super Area,Vijay nagar colony m,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-03,3,35000,2000,1 out of 5,Super Area,"Miyapur, NH 9",Hyderabad,Furnished,Family,3,Contact Owner
2022-05-25,3,27000,2200,3 out of 6,Super Area,Toli Chowki,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-07-06,3,18000,1400,2 out of 4,Super Area,Toli Chowki,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-06,3,20000,1950,5 out of 6,Super Area,Sainikpuri,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-16,2,8500,130,1 out of 1,Carpet Area,Rampally,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-10,2,14000,1300,Ground out of 2,Super Area,Bandlaguda Jagir,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-09,3,35000,1675,5 out of 12,Super Area,Gachibowli,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2022-07-06,2,16000,1135,3 out of 5,Super Area,Suchitra Circle,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,20000,1800,3 out of 4,Super Area,"Banjara Hills, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-14,3,18000,1400,1 out of 5,Super Area,Attapur,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner
2022-07-06,4,140000,3698,16 out of 22,Carpet Area,"Gachibowli CUC, Outer Ring Road",Hyderabad,Semi-Furnished,Family,5,Contact Agent
2022-05-12,2,10000,950,Ground out of 4,Super Area,"Bolarum, Medchal Road",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,12000,650,1 out of 2,Super Area,Begumpet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-24,1,5300,100,3 out of 3,Carpet Area,in 1-71/1/a,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,11000,950,2 out of 3,Carpet Area,IDA Uppal,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2022-06-10,2,12000,1000,1 out of 2,Carpet Area,"New Nagole Colony, Kothapet",Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2022-06-06,2,12000,900,3 out of 4,Carpet Area,Gwachiwali,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-29,3,20000,1800,7 out of 10,Carpet Area,Trimulgherry,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-07-02,2,13000,1000,2 out of 3,Super Area,Kapra,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-09,3,22000,1800,2 out of 5,Super Area,"Hyder Shah Kote, Chevella Road",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,15000,1000,2 out of 4,Super Area,Hyderguda,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,5400,450,1 out of 2,Super Area,Jeedimetla,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-28,3,16500,1771,2 out of 5,Super Area,Bandam Kommu,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2022-06-29,2,12000,1150,4 out of 5,Carpet Area," in Erragadda, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-06-22,2,8500,1000,2 out of 3,Super Area,Musheerabad,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-08,2,14000,1050,2 out of 5,Carpet Area,Attapur,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner
2022-06-08,3,15000,1500,2 out of 3,Carpet Area,"Miyapur, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,6000,750,1 out of 2,Super Area,"Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,14000,1100,Ground out of 4,Super Area,Mehdipatnam,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-29,2,15000,800,Ground out of 3,Super Area,Road no 3 banjara hills hyderabad 500035,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-02,3,37000,150,1 out of 5,Carpet Area,Jubilee Hills,Hyderabad,Unfurnished,Bachelors,3,Contact Agent
2022-06-30,1,6500,750,2 out of 3,Super Area,"Bapu Nagar, Lakdikapul",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-20,2,10000,600,2 out of 3,Super Area,Borabanda,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,12000,1080,2 out of 3,Super Area,"Habsiguda, NH 2 2",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-28,2,12000,1100,3 out of 3,Super Area,Nizampet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-17,2,9000,750,2 out of 3,Super Area,Alwal,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-10,3,60000,2405,10 out of 14,Super Area,"Khaja Guda, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors,4,Contact Agent
2022-04-30,2,18000,1248,4 out of 5,Carpet Area,Kothapet,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-02,2,14000,1110,2 out of 5,Carpet Area,Dhulapally,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-10,3,50000,2300,2 out of 5,Carpet Area,"Ashok Nagar, Himayath Nagar",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-08,2,17000,1000,3 out of 5,Carpet Area,"Madinaguda, Hafeezpet, NH 9",Hyderabad,Furnished,Bachelors,2,Contact Owner
2022-05-06,2,9000,800,4 out of 5,Super Area,Old Bowenpally,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-06,4,80000,3115,3 out of 3,Super Area,"Hormany nest Apartments gandipet Apartmentge hyderabad, Hyderabad",Hyderabad,Furnished,Bachelors/Family,5,Contact Owner
2022-06-22,1,7500,500,1 out of 2,Super Area,"Saroornagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-15,2,14000,950,5 out of 5,Carpet Area,"Miyapur, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,14000,1374,2 out of 3,Super Area,Trimulgherry,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-30,1,10000,1300,Ground out of 1,Carpet Area,Khanapur,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,17000,1150,5 out of 6,Super Area,Abhyudaya Nagar,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-07-02,1,6500,450,2 out of 3,Carpet Area,"Kukatpally, NH 9",Hyderabad,Semi-Furnished,Bachelors,1,Contact Owner
2022-05-06,2,10000,927,3 out of 5,Super Area,Bachupally,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-25,3,22000,1500,4 out of 5,Super Area,"Rajendra Nagar, Outer Ring Road",Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2022-07-06,2,15000,1200,1 out of 3,Super Area,Attapur,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-29,2,12000,1200,Ground out of 2,Super Area,Patelguda,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,3,52000,2800,16 out of 19,Carpet Area,"Kokapet, Outer Ring Road",Hyderabad,Furnished,Family,3,Contact Agent
2022-05-06,1,6500,562,3 out of 4,Super Area,Amberpet,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-19,2,20000,1500,1 out of 3,Super Area,Toli Chowki,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-06,3,25000,1950,Ground out of 3,Super Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-07-10,3,14000,1360,3 out of 8,Super Area,"Ghatkesar, NH 2 2",Hyderabad,Furnished,Bachelors,2,Contact Owner
2022-06-25,3,25000,1800,1 out of 3,Super Area,Prashanth hills,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-31,2,12500,950,2 out of 8,Super Area,"Kachiguda, NH 2 2",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-05,2,12000,780,3 out of 3,Carpet Area,Sri BALAJI CLASSIC BHAVANI NAGAR RD NO 5,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2022-06-10,1,10000,500,1 out of 3,Super Area,"Khairatabad, NH 7",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-18,2,17000,1050,3 out of 5,Super Area,"Ashok Nagar, Himayath Nagar",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-10,1,15500,600,Upper Basement out of 5,Carpet Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-29,3,65000,1800,Ground out of 1,Carpet Area,"Banjara Hills, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-06,3,60000,1800,14 out of 30,Carpet Area,Gachibowli,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Agent
2022-07-06,3,45000,1900,4 out of 10,Carpet Area,Gachibowli,Hyderabad,Semi-Furnished,Family,3,Contact Agent
2022-06-18,2,10500,1100,3 out of 5,Super Area,"Safilguda, Secunderabad",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-24,2,9000,200,2 out of 7,Super Area,BHEL,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-06,3,20000,1400,3 out of 5,Super Area,Nawab Saheb Kunta,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-07-06,2,20000,1200,2 out of 5,Carpet Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-06,3,18000,1600,2 out of 5,Super Area,"Quthbullapur, NH 7",Hyderabad,Furnished,Bachelors/Family,3,Contact Owner
2022-05-06,2,12000,1150,2 out of 5,Super Area,Nizampet,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-06,2,12000,130,2 out of 3,Super Area,"Subhash Nagar, Secunderabad",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-27,4,120000,3800,1 out of 1,Carpet Area,"MLA Colony, Banjara Hills",Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-04-30,3,28000,1720,4 out of 10,Super Area,"Narsingi, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-04-30,1,6000,500,1 out of 3,Super Area,"Hayathnagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-14,2,12500,1200,2 out of 6,Super Area,Mehdipatnam,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-06,4,31000,2400,2 out of 4,Super Area,"Upparpally, Hyderabad Expressway",Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-05-25,2,7000,800,3 out of 4,Super Area,"Boduppal, NH 2 2",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-06-24,2,22000,1300,4 out of 5,Super Area,"Basheer Bagh, NH 7",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-30,2,17500,1400,4 out of 6,Super Area,"Miyapur, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-06-04,2,14000,650,1 out of 3,Super Area,"Padmarao Nagar, Hyderabad-Karimnagar Highway",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-12,2,9500,103,2 out of 4,Super Area,"Boduppal, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-30,1,7000,950,1 out of 5,Super Area,Kothapet,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-06,3,15000,1500,3 out of 5,Super Area,RTC Colony-Chandanagar,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2022-06-30,3,15000,1550,5 out of 5,Carpet Area," in Miyapur, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,10000,140,2 out of 4,Super Area,"Sivarampalli, Hyderabad Expressway",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-06,3,14000,1800,1 out of 2,Super Area,Kanchan Bagh,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-08,4,85000,2550,2 out of 3,Carpet Area,"Banjara Hills, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-05-12,1,5500,500,Ground out of 3,Super Area,Vikas Nagar-Bandlaguda Jagir,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,14000,800,Ground out of 3,Super Area,"Kukatpally, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-20,2,10000,800,1 out of 2,Super Area,"Kukatpally, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,10000,1300,2 out of 4,Super Area,"Safilguda, Secunderabad",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,13000,600,2 out of 3,Super Area,"Banjara Hills, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,20000,1000,2 out of 6,Super Area,Toli Chowki,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2022-06-10,3,25000,1000,1 out of 4,Carpet Area,OU Colony-Shaikpet,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,1,7500,500,2 out of 3,Super Area,"Janachaitanya colony, Hyderabad Expressway",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-06,1,200000,8000,Ground out of 4,Super Area," Beeramguda, Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors/Family,10,Contact Owner
2022-05-01,2,12000,1100,2 out of 3,Carpet Area,"Gangaram, Chandanagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-03,2,9500,1100,Ground out of 3,Carpet Area,"Kanaka Durga Colony, Gudimalkapur",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-06,2,12000,200,1 out of 1,Carpet Area,railway employees housing colony Bollarum,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2022-05-25,2,10000,1800,2 out of 3,Super Area,"Boduppal, NH 2 2",Hyderabad,Unfurnished,Family,2,Contact Owner
2022-07-08,2,8000,190,1 out of 1,Super Area,Gurramguda balaj homes p no 4,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-07-02,3,16000,1350,1 out of 3,Super Area,Saidabad,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,12333,1200,Ground out of 1,Super Area,Alwal,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-19,1,9500,400,3 out of 4,Carpet Area,"Bharat Nagar, Moosapet",Hyderabad,Unfurnished,Bachelors,1,Contact Owner
2022-07-06,2,16000,1200,Ground out of 4,Super Area,"Manikonda, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-30,3,20000,1400,4 out of 5,Super Area,"Saidabad Colony, Sayeedabad",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-06-10,3,14000,1300,2 out of 3,Carpet Area,Rock Town Colony,Hyderabad,Unfurnished,Bachelors,3,Contact Owner
2022-07-01,1,7500,400,2 out of 2,Carpet Area,"DNM Colony, Sanath Nagar",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-06,1,13900,650,1 out of 6,Super Area,Suraram,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-30,1,5500,500,2 out of 3,Super Area,Vidyanagar,Hyderabad,Unfurnished,Bachelors,1,Contact Owner
2022-04-30,2,9000,875,4 out of 5,Super Area,Attapur,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-24,1,4700,850,3 out of 3,Super Area," in Boduppal, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-06,3,30000,1730,7 out of 9,Super Area,Nalagandla,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-31,3,16500,1500,2 out of 6,Carpet Area,Kompally,Hyderabad,Semi-Furnished,Bachelors,3,Contact Owner
2022-06-29,3,24000,1600,4 out of 4,Carpet Area,Akkineni Homes Yousufguda,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-06-18,2,9500,900,1 out of 2,Super Area,"Peerzadiguda, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-19,2,12000,925,2 out of 2,Super Area,"Chandanagar, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,15000,1500,2 out of 4,Super Area,"LB Nagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-21,3,22500,1600,1 out of 3,Carpet Area,Tarnaka,Hyderabad,Semi-Furnished,Family,3,Contact Owner
2022-06-29,3,32000,1300,2 out of 3,Carpet Area,"Banjara Hills, NH 9",Hyderabad,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-29,2,10000,1200,Ground out of 3,Super Area,Sainikpuri,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-14,2,13000,133,1 out of 2,Super Area,Old Bowenpally,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,7000,950,Ground out of 1,Super Area,Rampally,Hyderabad,Unfurnished,Family,2,Contact Owner
2022-05-12,3,12000,1200,3 out of 4,Super Area,Santosh Nagar,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-12,2,7500,950,1 out of 2,Super Area,Kothapet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,15000,1095,4 out of 5,Super Area,"Gundlapochampally, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,1,8000,400,3 out of 4,Super Area,Chanda Nagar,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-17,3,25000,2210,4 out of 5,Super Area,"Nallagandla, Serilingampally",Hyderabad,Semi-Furnished,Family,3,Contact Owner
2022-06-11,3,26000,1450,4 out of 5,Super Area,Madhapur,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-12,3,15000,192,2 out of 4,Super Area,"Bolarum, Medchal Road",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-07-06,1,3000,80,Ground out of 2,Super Area,Rhoda Mistri Nagar,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,12500,1315,Ground out of 2,Super Area,Aminpur,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,3,42000,1600,2 out of 5,Carpet Area,Jubilee Hills,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-07,2,20000,1450,2 out of 6,Super Area,"Somajiguda, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,3,40000,1900,2 out of 5,Carpet Area,Film Nagar,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-06,3,45000,2600,2 out of 5,Carpet Area,"Banjara Hills, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-12,1,8500,450,Ground out of 1,Super Area,"Hafeezpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-01,2,15000,1000,4 out of 5,Super Area,"Somajiguda, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-20,2,9000,100,2 out of 3,Super Area,Chanchalguda,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-12,2,14000,1100,Ground out of 3,Super Area,"Old Malakpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,11000,1200,2 out of 2,Super Area,"Troop Bazaar, Koti",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-16,2,10000,1400,2 out of 4,Super Area,"Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-02,3,55000,2000,Ground out of 12,Carpet Area,Gachibowli,Hyderabad,Semi-Furnished,Family,3,Contact Agent
2022-07-02,2,10000,1070,2 out of 5,Carpet Area,HMT Swarnapuri Colony,Hyderabad,Unfurnished,Family,2,Contact Owner
2022-05-16,2,25000,1450,3 out of 3,Carpet Area,Camelot Layout,Hyderabad,Unfurnished,Family,2,Contact Owner
2022-05-16,2,27000,1230,1 out of 6,Super Area,Puppalaguda,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
